geneID	baseMean	log2FoldChange	lfcSE	pvalue	group1	group2	minusLog10p
YAL018C	103.755712073173	5.63565868345899	0.221438311199893	1.01687545046287e-143	a_nam	a_no	140.464898903957
YAL066W	2.56381716349007	3.57524043293149	0.960320247012833	1.70351193635072e-05	a_nam	a_no	4.25476688774027
YAR073W	85.0606799374583	4.53264562874642	0.22421976328	2.43486228833229e-91	a_nam	a_no	88.4197225191036
YAR075W	33.6412451104286	3.84945791848221	0.263897008029894	8.63213996645332e-49	a_nam	a_no	46.1603845790331
YBL016W	380.147528903241	-3.90662110871401	0.171017571788822	1.43660398037166e-116	a_nam	a_no	113.483234031624
YBL108C-A	6.99888772826848	3.5248032148079	0.515040806357974	1.33481560183629e-12	a_nam	a_no	10.9418933893239
YBR040W	60.8187966661801	4.10445199538366	0.199175829868322	5.57906742838875e-95	a_nam	a_no	92.0266350519809
YBR200W-A	38.1164449766007	5.44114245258289	0.401317697955834	1.19462728646325e-42	a_nam	a_no	40.1029523697006
YCL026C-A	166.293736208949	4.64440751433828	0.162137317091014	5.49669160677184e-182	a_nam	a_no	178.532492940269
YCL066W	37.66783421097	7.02430065118649	2.56451586257964	8.13684915629634e-09	a_nam	a_no	7.35483880800831
YCL069W	30.2804043990434	5.36642558723237	0.37373423528788	8.37517215164614e-47	a_nam	a_no	44.2246618323887
YCL076W	17.5897787063527	11.0011706143054	3.03550233496706	6.97231248158947e-20	a_nam	a_no	17.8990394848325
YCR040W	119.00087104561	6.33306882114102	1.26711395195022	3.192758734938e-10	a_nam	a_no	8.68091597131318
YCR097W-A	26.7169348384726	3.33708042580928	0.316851575150491	5.11642443745061e-27	a_nam	a_no	24.7832995775034
YCR108C	3.64190583735999	8.10075590933668	2.71942198566177	1.28652688676279e-10	a_nam	a_no	9.053410111187
YDL007C-A	4.45437105738202	4.73619141459019	0.876135665578163	2.44721293736081e-08	a_nam	a_no	6.90786055930734
YDL114W	54.0046384215001	3.7228668951614	0.232522206779899	6.84683410408795e-59	a_nam	a_no	56.1572638099037
YDR218C	117.12138695169	3.64865069367013	0.207570779084805	2.56474509117703e-70	a_nam	a_no	67.5167626182292
YDR461W	1530.56288702959	-8.43377814903103	0.290620415989908	4.27918081799118e-186	a_nam	a_no	182.562052427565
YDR523C	189.905326683697	4.16867165592524	0.120045561242309	3.34192895358257e-265	a_nam	a_no	260.970445848393
YDR542W	13.2609797097507	3.60768825721049	0.367683549368713	1.3210835428261e-23	a_nam	a_no	21.4957286571639
YER106W	62.050603056997	4.29692836964825	0.211547968769946	5.6469083417768e-93	a_nam	a_no	90.0436623184901
YER148W-A	10.525407499179	-3.53353659918816	0.670098097033723	5.01363394132486e-08	a_nam	a_no	6.61809059329517
YFL012W	78.0425165813854	4.35854999346664	0.182335392306355	1.28372588710356e-126	a_nam	a_no	123.482880775243
YFL026W	1677.67507545129	-6.34523808091962	0.152570977604447	0	a_nam	a_no	Inf
YFL063W	4.82452564750183	3.63846096717196	0.646482930844123	2.05692444846282e-09	a_nam	a_no	7.91321617015201
YFR032C	111.562636763023	5.85986783954515	0.229353218462714	2.45541997263819e-144	a_nam	a_no	141.058559786659
YFR057W	27.071453447261	5.34307868186795	0.395190090120924	6.79789723709049e-42	a_nam	a_no	39.3610384705475
YGL015C	40.4421751574095	3.37276388467962	0.207631896850909	2.30168246902625e-60	a_nam	a_no	57.6237593452865
YGL032C	214.692191792095	-5.8388080002856	0.27345903267756	4.87333450547051e-102	a_nam	a_no	99.0241007831911
YGL138C	95.6969081982251	8.10664761984388	0.48655286694366	1.98112935489097e-61	a_nam	a_no	58.6746514829801
YGL170C	142.375768742157	5.06486149028381	0.16224097449528	1.83219470813903e-214	a_nam	a_no	210.708592691606
YGL193C	72.3389237977233	-3.97636803312595	0.302700661990605	7.05481198558126e-40	a_nam	a_no	37.366116920672
YGL263W	192.506437020238	3.45175585309768	0.189944780442126	5.04376130455009e-75	a_nam	a_no	72.1896285445595
YGR044C	750.807953518227	-3.55100297876538	0.129208100995603	1.99394373721692e-167	a_nam	a_no	164.007643518247
YGR259C	4.54126769923849	6.08249613937217	1.30176874092265	4.15159183208812e-09	a_nam	a_no	7.62827686031366
YGR273C	31.2648869048315	5.52178342307446	0.377202083658473	9.11293501483122e-49	a_nam	a_no	46.1422398112598
YHR125W	9.89185814604861	3.50793543523042	0.43418106678258	9.01948016031173e-17	a_nam	a_no	14.9221786888168
YHR126C	65.5092460586715	5.50573182133928	0.275280468025797	4.38912253954691e-89	a_nam	a_no	86.1845038152061
YHR185C	98.2345984938107	4.37704925094716	0.167159273713377	1.9348420759341e-151	a_nam	a_no	148.052895578171
YIL015W	525.95218903623	-3.97706688390255	0.131972119601562	5.79001613788448e-201	a_nam	a_no	197.275831331495
YJL170C	109.585504878976	-3.54076868052806	0.192014128246294	8.79295822680517e-77	a_nam	a_no	73.9305192931117
YJR086W	350.874544774541	-5.60561587669124	0.23092294297901	3.27371334454198e-130	a_nam	a_no	127.0005917117
YJR162C	3.038495081694	5.43826068953967	1.37458109344145	4.65096478780908e-07	a_nam	a_no	5.71125941346865
YKL225W	1.64098904820373	6.58006897180586	2.67941858243832	3.05214118001576e-06	a_nam	a_no	4.95060387846971
YKR039W	3891.13065197796	-3.38920270578469	0.202773629947285	6.01009203305683e-64	a_nam	a_no	61.1853839548719
YLL020C	6.92085533522478	-3.50245487736491	0.989946887317893	0.000128857037199825	a_nam	a_no	3.43798947820219
YLR157W-E	91.0676867714643	-5.21770587629037	0.492996592273466	3.93809916331001e-27	a_nam	a_no	24.8925926441414
YLR265C	148.228129631905	-3.43458957006634	0.147168917921079	4.86569091173868e-121	a_nam	a_no	117.937632312493
YLR307C-A	77.2153841850188	4.5072363863642	0.309449115091077	3.95492076734279e-49	a_nam	a_no	46.4883698810727
YLR307W	254.942528253891	4.36287339094769	0.150730727352544	1.07257329382138e-185	a_nam	a_no	182.204378771638
YLR308W	104.261276062227	6.41037544520455	0.266743649547326	8.48076900161922e-128	a_nam	a_no	124.607400512396
YML047C	9.15354293879302	4.63918721208011	0.574029703607755	2.72679758180723e-16	a_nam	a_no	14.4687232844842
